127.0.0.1 - - [25/Jan/2020:00:25:08 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:25:12 +0900] "GET /gtg/WEB-INF/jsp/gtg/admin/adupdateform.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:25:12 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:25:15 +0900] "GET /gtg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:25:16 +0900] "GET /gtg/ HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:25:17 +0900] "GET /gtg/login/loginHome.do HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:25:22 +0900] "POST /gtg/login/loginCheck.do HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:25:23 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:25:26 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2.6 HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:25:28 +0900] "GET /gtg/admin/adpage.do?cnt=2&pcnt=2 HTTP/1.1" 200 6184
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:25:32 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2 HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:26:37 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2 HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:26:41 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2 HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:26:41 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2 HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:26:42 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2 HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:26:42 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2 HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:27:08 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:27:10 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:27:11 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:27:12 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2.6 HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:28:36 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:28:38 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:28:39 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:28:40 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2.6 HTTP/1.1" 200 9026
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:28:42 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:28:52 +0900] "GET /gtg/login/loginvalid.do HTTP/1.1" 200 1616
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:28:52 +0900] "GET /gtg/login/loginHome.do HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:28:55 +0900] "POST /gtg/login/loginCheck.do HTTP/1.1" 200 1965
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:28:56 +0900] "GET /gtg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:28:56 +0900] "GET /gtg/ HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:28:59 +0900] "GET /gtg/login/loginvalid.do HTTP/1.1" 200 1616
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:28:59 +0900] "GET /gtg/login/loginHome.do HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:02 +0900] "POST /gtg/login/loginCheck.do HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:03 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:04 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:05 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2.6 HTTP/1.1" 200 9026
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:06 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:09 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:09 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:09 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:10 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2.6 HTTP/1.1" 200 9026
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:18 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:18 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.6 HTTP/1.1" 200 6435
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:24 +0900] "GET /gtg/board/bdel.do?bid=c&bname=c HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:24 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:24 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.5 HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:29:26 +0900] "GET /gtg/board/bdel.do?bid=&bname= HTTP/1.1" 200 1789
