127.0.0.1 - - [01/Feb/2020:10:04:52 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:04:52 +0900] "GET /test/res/index.jsp HTTP/1.1" 200 6720
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:04:53 +0900] "GET /test/res/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:04:53 +0900] "GET /test/res/images/apple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:04:53 +0900] "GET /test/res/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:04:53 +0900] "GET /test/res/css/customize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:04:53 +0900] "GET /test/res/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:04:53 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:06:13 +0900] "GET /test/res/lecture.jsp?lectureName=Android HTTP/1.1" 200 4610
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:06:32 +0900] "GET /test/res/index.jsp HTTP/1.1" 200 3603
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:08:52 +0900] "GET /test/res/index.jsp HTTP/1.1" 200 5973
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:08:54 +0900] "GET /test/res/index.jsp HTTP/1.1" 200 5973
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:08:54 +0900] "GET /test/res/index.jsp HTTP/1.1" 200 5973
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:08:55 +0900] "GET /test/res/index.jsp HTTP/1.1" 200 5973
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:08:55 +0900] "GET /test/res/index.jsp HTTP/1.1" 200 5973
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:08:55 +0900] "GET /test/res/index.jsp HTTP/1.1" 200 5973
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:08:55 +0900] "GET /test/res/index.jsp HTTP/1.1" 200 5973
0:0:0:0:0:0:0:1 - - [01/Feb/2020:10:09:04 +0900] "GET /test/res/index.jsp HTTP/1.1" 200 5973
